Name,Count,Surname rank among blacks,% of people with surname self-identifying as 'black',U.S. Rank,U.S. total occurrences
MAXWELL,12932.00,341,19.70%,458,"65,779"
BASS,12890.00,342,23.70%,559,"54,296"
WINSTON,12866.00,343,62.60%,1605,"20,537"
LYNCH,12853.00,344,11.20%,237,"114,448"
NEWTON,12831.00,345,17.70%,400,"72,328"
GILMORE,12746.00,346,27.10%,661,"47,050"
SOLOMON,12702.00,347,29.70%,726,"42,839"
ATKINS,12692.00,348,25.50%,619,"49,754"
PETERS,12685.00,349,9.50%,190,"134,231"
FOWLER,12643.00,350,12.30%,267,"102,620"
BONNER,12622.00,351,39.70%,1005,"31,761"
WHITAKER,12608.00,352,23.20%,558,"54,343"
STEELE,12602.00,353,14.90%,331,"84,353"
REEVES,12499.00,354,15.70%,358,"79,817"
BURGESS,12481.00,355,17.40%,407,"71,604"
BEASLEY,12473.00,356,27.00%,679,"46,179"
MOSES,12443.00,357,33.80%,858,"36,814"
RUFFIN,12371.00,358,81.10%,2188,"15,263"
HAIRSTON,12365.00,359,83.00%,2242,"14,891"
RAMSEY,12360.00,360,16.10%,373,"76,625"
HODGE,12275.00,361,24.30%,610,"50,577"
HOLT,12232.00,362,14.40%,329,"84,710"
CHERRY,12108.00,363,35.00%,922,"34,615"
POLK,12088.00,364,47.50%,1270,"25,438"
BREWER,12086.00,365,12.00%,274,"100,465"
RUCKER,12077.00,366,48.00%,1287,"25,160"
MUHAMMAD,12028.00,367,86.10%,2379,13972
NASH,12005.00,368,23.50%,601,"51,021"
CHRISTIAN,12001.00,369,23.40%,597,"51,177"
POOLE,11937.00,370,21.80%,549,"54,706"
HEARD,11927.00,371,53.70%,1469,"22,211"
BARRETT,11901.00,372,12.40%,288,"95,896"
STONE,11834.00,373,7.90%,162,"149,802"
GOODWIN,11830.00,374,16.80%,415,"70,333"
DILLARD,11806.00,375,39.20%,1062,"30,118"
CARSON,11801.00,376,21.10%,537,"55,821"
DAVENPORT,11774.00,377,21.70%,561,"54,206"
NORRIS,11768.00,378,13.80%,326,"85,212"
LEONARD,11721.00,379,13.10%,308,"89,198"
STARKS,11706.00,380,61.90%,1736,"18,911"
PAUL,11675.00,381,16.20%,401,"72,248"
GAMBLE,11633.00,382,35.90%,981,"32,377"
JOYNER,11583.00,383,41.10%,1134,"28,216"
MCBRIDE,11578.00,384,19.00%,495,"60,874"
EPPS,11557.00,385,61.50%,1747,"18,780"
HARMON,11550.00,386,15.90%,399,"72,414"
FARMER,11531.00,387,16.90%,431,"68,309"
RICHARD,11517.00,388,22.10%,581,"52,138"
ELLISON,11447.00,389,27.60%,756,"41,459"
MORTON,11440.00,390,19.50%,509,"58,788"
MCCALL,11417.00,391,27.70%,761,"41,231"
MCDOWELL,11335.00,392,23.90%,652,"47,526"
CHATMAN,11304.00,393,81.10%,2384,"13,935"
PATRICK,11302.00,394,19.40%,513,"58,257"
GREER,11261.00,395,20.60%,552,"54,611"
TYSON,11237.00,396,40.30%,1152,"27,911"
TOLBERT,11219.00,397,49.40%,1444,"22,720"
COVINGTON,11129.00,398,43.80%,1272,"25,403"
BISHOP,11073.00,399,9.70%,238,"114,034"
PRINCE,11048.00,400,24.70%,700,"44,640"
BALLARD,11013.00,401,18.50%,503,"59,660"
MIDDLETON,11007.00,402,27.00%,771,"40,708"
MCKNIGHT,10966.00,403,33.90%,980,"32,386"
STRONG,10940.00,404,25.20%,718,"43,430"
WYNN,10928.00,405,39.00%,1142,"28,048"
SIMMS,10868.00,406,41.30%,1221,"26,296"
MINOR,10849.00,407,36.60%,1078,"29,634"
GOODMAN,10808.00,408,15.10%,409,"71,482"
BURKS,10804.00,409,41.40%,1232,"26,115"
NIXON,10757.00,410,29.80%,877,"36,037"
SAMPSON,10749.00,411,28.90%,844,"37,234"
WALTERS,10741.00,412,10.30%,262,"104,281"
CLEMONS,10695.00,413,42.30%,1282,"25,265"
SAMUEL,10685.00,414,55.60%,1711,"19,225"
NEWMAN,10622.00,415,10.60%,273,"100,491"
STRICKLAND,10622.00,415,16.10%,456,"65,814"
LOUIS,10589.00,417,57.10%,1771,"18,552"
BURRELL,10577.00,418,45.90%,1414,"23,048"
MASSEY,10569.00,419,19.80%,568,"53,459"
SYKES,10546.00,420,39.90%,1214,"26,425"
WESLEY,10543.00,421,48.50%,1512,"21,734"
GIVENS,10494.00,422,44.00%,1364,"23,823"
NICHOLSON,10492.00,423,18.70%,534,"55,986"
PUGH,10423.00,424,26.90%,817,"38,691"
SAMUELS,10423.00,424,51.00%,1611,"20,422"
DUKES,10420.00,426,49.90%,1577,"20,870"
HUMPHREY,10415.00,427,21.90%,655,"47,470"
WELCH,10401.00,428,9.80%,259,"105,804"
POLLARD,10340.00,429,30.30%,937,"34,079"
CARPENTER,10331.00,430,8.10%,211,"127,073"
BRIGGS,10308.00,431,18.00%,522,"57,297"
SPEARS,10304.00,432,25.60%,785,"40,203"
DAY,10290.00,433,10.10%,271,"101,676"
HOOD,10253.00,434,19.10%,566,"53,737"
MCGHEE,10253.00,434,47.20%,1513,"21,727"
GILES,10195.00,436,26.10%,805,"39,002"
SMALLS,10182.00,437,93.40%,3049,10897
BLAIR,10158.00,438,13.50%,380,"75,135"
BUCHANAN,10155.00,439,15.90%,471,"63,825"
MCLEAN,10136.00,440,24.80%,768,"40,871"
HAMMOND,10133.00,441,15.10%,442,"67,063"
WILLIAM,10128.00,442,59.00%,1923,"17,164"
MADISON,10112.00,443,38.10%,1209,"26,548"
MCFADDEN,10095.00,444,33.40%,1058,"30,205"
WHITEHEAD,10091.00,445,23.30%,721,"43,310"
BLUE,10045.00,446,44.80%,1461,"22,422"
BURKE,10011.00,447,8.40%,229,"119,175"
WISE,9991.00,448,15.00%,445,"66,738"
MOBLEY,9951.00,449,36.00%,1160,"27,648"
KEMP,9910.00,450,22.20%,698,"44,701"
